Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,inductive_score,deductive_score,label
4,3,1,4,1,4,2,4,3,2,3,4,2,2,15,24,Deductive
3,1,2,1,4,1,2,4,1,4,3,1,2,3,18,14,Inductive
4,1,4,1,2,3,3,3,2,1,1,4,2,1,18,14,Inductive
2,2,3,3,3,1,3,3,2,3,3,1,4,3,20,16,Inductive
2,3,4,1,1,4,1,2,2,1,1,1,3,1,14,13,Inductive
3,3,1,3,3,3,2,3,4,2,4,3,3,1,18,20,Deductive
1,2,4,2,2,4,4,4,1,3,3,2,2,3,17,20,Deductive
2,3,2,4,1,1,1,4,2,2,1,3,4,4,14,20,Deductive
4,2,2,4,1,1,4,4,2,3,1,4,4,1,20,17,Inductive
3,4,2,2,4,2,2,4,1,4,4,3,4,4,20,23,Deductive
4,4,1,4,2,1,2,4,4,3,3,4,3,3,19,23,Deductive
4,1,3,4,1,3,2,3,3,2,1,2,3,2,18,16,Inductive
2,1,3,3,1,4,4,4,3,3,3,2,1,4,17,21,Deductive
4,3,4,2,1,1,3,4,3,1,3,3,4,3,20,19,Inductive
3,2,3,3,1,4,3,1,2,1,4,2,1,4,14,20,Deductive
4,2,2,4,2,3,2,2,4,2,4,4,3,3,19,22,Deductive
2,2,3,2,4,2,1,1,3,2,2,2,2,3,17,14,Inductive
3,4,1,2,4,3,2,2,1,2,1,1,4,3,17,16,Inductive
2,3,3,3,4,1,4,1,4,4,2,1,2,1,23,12,Inductive
3,1,3,2,1,3,2,2,2,2,3,2,3,4,16,17,Deductive
1,3,3,4,3,1,2,2,2,3,3,4,3,4,17,21,Deductive
2,4,3,2,3,1,3,2,4,3,2,1,4,1,22,13,Inductive
4,1,1,2,1,1,3,1,4,3,4,2,2,3,18,14,Inductive
2,1,2,3,2,2,4,3,1,4,2,4,1,2,16,17,Deductive
1,4,1,1,3,3,4,3,3,1,2,2,1,3,14,18,Deductive
1,4,1,3,4,2,1,3,4,3,2,3,1,4,15,21,Deductive
2,3,4,4,3,3,4,2,2,3,2,1,2,2,20,17,Inductive
4,1,1,1,3,2,2,2,1,1,4,1,2,1,14,12,Inductive
1,1,3,2,1,3,2,3,1,4,2,2,1,2,13,15,Deductive
1,3,4,2,4,3,3,2,2,1,2,1,1,1,16,14,Inductive
4,2,2,2,1,2,3,4,2,4,3,3,2,3,18,19,Deductive
1,1,1,4,4,4,3,3,4,1,1,3,4,4,18,20,Deductive
2,1,2,1,3,4,1,3,4,1,3,3,2,3,15,18,Deductive
4,2,2,1,2,1,2,2,2,2,4,4,3,1,17,15,Inductive
2,1,3,2,4,2,4,2,2,4,3,3,1,3,20,16,Inductive
3,3,3,3,1,1,2,2,4,4,2,4,3,2,20,17,Inductive
1,2,1,4,4,1,1,1,4,4,1,2,1,3,16,14,Inductive
